	mu	var	coef
peak2010	2.213626679810076	0.060052798334569016	-0.04328458546820943
peak2835	1.6962785580225452	0.050074114502065566	-0.43917198113466593
peak3024	1.9837479355204022	0.07675173306110974	-0.03777449910975846
peak3107	2.1867152439601667	0.047190258520015516	-0.3376467875818535
peak3249	1.59779076774809	0.07958064454016764	0.09456629146132155
peak3331	1.7740363080101291	0.05194116836828473	-0.2277340135786753
peak4046	1.1501163123281237	0.08613630394357272	-0.06788653470908766
peak4149	2.359894227240366	0.03198052551447244	-0.47001725900617314
peak4341	3.252946757970402	0.05048146250040279	-0.18328216396314936
peak4728	2.5924485517827454	0.04069798111478971	-0.4969006652951649
peak5035	2.311831017249121	0.05453476245017918	-1.291570115090696
peak5602	1.59552283903952	0.024628521045081633	-0.13817471165026504
peak5636	1.966970854079494	0.060935751092147515	-0.18229704671392374
peak5918	2.4593106638138673	0.051960147169418755	0.14548279198156097
peak6376	3.2963496875809954	0.017596910564746923	-0.01523745808336821
peak6775	1.7525354107824744	0.1325350792334323	-1.3906295906869333
peak7207	1.7168251263997079	0.04005125098639428	-0.06425714843570252
peak7597	1.6184227475222397	0.054228385133948925	-0.004541601817683938
peak7617	2.800302874376525	0.03723260848647317	-1.6380264414806829
peak7661	2.6949669561879857	0.00902694240388199	-0.10573433624990693
peak7670	2.3175921019501944	0.02916930264902013	-0.027706438047021345
peak7762	1.8489841255061858	0.052648959440292555	1.257736337503521
peak7763	1.542595117826999	0.09601407688052546	0.6596227269132491
peak7774	1.7101775991528247	0.10284296498269228	-1.364678363416541
peak8314	1.260734705846889	0.12906179270173687	-0.7233888033286067
peak8349	1.7145632542549811	0.032725553777149634	0.11301703369319203
peak8473	1.8134434427367179	0.03865726465049568	0.051257851047759026
peak8609	1.4781567446934822	0.059538806027474016	0.2309042663618379
peak9190	1.8395700825642018	0.05962324946204776	-0.004427902017605232
peak9381	1.7389290887392255	0.17086854051020914	0.008623554264452304
peak9674	1.5011609277790043	0.051894084514593354	0.009595360267781143
peak9811	2.874154083828381	0.01713911647775792	-0.36077963670082663
peak9982	1.5259164692348424	0.04243053233455205	-0.04434404642138872
peak10190	3.01735938045897	0.0522477029408664	-0.07290049286165695
peak10402	2.0502239685442376	0.040802425237954465	-0.0003603192009013952
peak10754	2.852381624879415	0.019543501429954035	-0.1046908665895622
peak10941	3.1282517014143667	0.02509538187603318	-0.09061887904272754
peak11287	2.0285454979346293	0.052858187271468404	0.06585874427179685
peak11312	1.6160701766768093	0.054179618702969064	-0.0507705711449018
peak11559	2.3121434203550044	0.015403708812531029	0.08540466212500644
peak11622	2.3097359142463136	0.042380353097133186	0.23925041598926577
peak12573	1.9088223527921901	0.031895787406503305	0.03614393746179359
peak12797	1.4959148461199188	0.0377091796194311	0.17958867186454833
peak13010	1.3535988883619625	0.07730198133117193	0.1997251793529316
peak14330	1.6499203670504425	0.09968396606137261	0.0005882052349260209
peak14391	1.570820737979397	0.05318637220626431	0.11832279804128491
peak14542	1.6199667053019933	0.13773698219809938	0.0004607385805971796
peak14547	1.5886671818695908	0.15578626315731253	0.00029960785184448885
peak14648	1.524895969990819	0.07369732577127568	0.01922736712806051
peak15736	1.6486453934657401	0.0938543007904033	-0.0739501922104898
peak15774	2.3657182353824235	0.01596016009608876	-0.008200352742657409
peak15991	3.470679759574376	0.005423551574502042	-0.12009639380648467
peak16061	2.3849025372154853	0.07854988707053707	-0.7772604473868936
peak17559	1.2969571164653482	0.11370856952012891	-0.025481333996174995
peak17764	2.18587081018907	0.04616352841739634	0.26721854854730387
peak18254	2.9578130516534453	0.006901529436728325	-0.00014848917093913166
peak18658	4.0545785372442085	0.005533941614202317	-0.25517697441555415
peak19063	1.6913669530339337	0.09576710038353999	0.006365584144785631
peak20229	1.8376693487013436	0.06296194054442744	-0.27351261553379846
peak20298	1.6748037136345966	0.10446003117612006	0.039554856356074086
peak20497	1.752448659651303	0.04162328638317335	-0.31852264726129426
peak20936	2.557197789468664	0.015750748980495784	0.026801418556034625
peak21239	1.73082999471826	0.06447908726942639	-0.5313515792075474
peak21324	1.4812242240827749	0.07590926608021943	0.0680984806814235
peak21575	1.3818667291704656	0.1281281929866098	-0.005544658753903953
peak21665	2.1149622712860805	0.02289489553346554	-0.09341756799442073
peak21929	2.7326519907892806	0.012228342401713731	0.010274509559934713
peak22843	3.361491366155986	0.009445344722042445	0.4109320959992702
peak23818	2.6110151627645313	0.04159215844371729	-0.0041000075257618136
peak23841	1.780165633092349	0.06336213434933	0.01559712621553667
