	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-1.9310344827586206	0.95	188.0	5.979559232012883	3.5153884985193784	0.9262374922016187
1	-2.6206896551724137	0.7	375.0	9.996568979037972	5.231382934337859	0.7070986298837514
2	-1.4137931034482758	1.0	143.0	6.948316401514622	6.261498962631869	0.8987869574130596
3	-1.068965517241379	0.9	163.0	9.350934427200006	6.32913674342246	0.7631215052766498
4	-2.4482758620689653	1.0	229.0	6.05543430368866	5.682582432905193	0.9238257868723876
5	-2.275862068965517	0.99	202.0	4.582535019448377	3.676928508818392	0.949657133235248
6	-2.4482758620689653	0.99	230.0	6.011848798912953	3.920231712543682	0.9585061327631086
7	-2.4482758620689653	0.99	219.0	8.214880304953951	6.006787674189674	0.8867827089300976
8	-2.4482758620689653	0.9	234.0	8.23265943876576	6.885218654989444	0.875282163577088
9	-2.103448275862069	0.7	310.0	8.125458428607088	6.018671532136942	0.8776312636270739
10	-1.7586206896551722	1.0	149.0	7.140040374819566	4.430692293186688	0.8740771791203068
