	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-1.7586206896551722	0.95	158.0	8.756054465090688	7.049775150771339	0.7986005403166145
1	-2.4482758620689653	0.9	236.0	7.191506049933334	7.0301887482393415	0.8611386981500093
2	-2.4482758620689653	1.0	208.0	6.484056844302597	5.444599675475942	0.9057318269477319
3	-1.9310344827586206	0.95	170.0	5.9919612605521735	3.578630014573074	0.9431084100404665
4	-2.4482758620689653	0.99	215.0	8.326917948642906	6.112970989846083	0.8477903519924025
5	-2.4482758620689653	0.99	233.0	6.318690909905379	4.396971406000063	0.9193478510188461
6	-2.103448275862069	1.0	180.0	8.007951966649287	5.582202850253925	0.8436806621235322
7	-2.275862068965517	0.95	208.0	8.013410095247478	6.862582071178657	0.8506226961419892
8	-0.37931034482758585	0.7	214.0	9.627808666763956	8.72659802396889	0.7853646150448456
9	-2.4482758620689653	0.7	318.0	8.618920651417652	5.026871140609561	0.7967753229930279
10	-1.7586206896551722	0.9	175.0	7.506309254770169	6.207121373235925	0.8742565550628898
