	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-2.275862068965517	0.99	197.0	8.89219906693738	7.049422606748493	0.7982869715432452
1	-2.4482758620689653	0.95	228.0	6.724323042387747	5.707887000769784	0.8798030344312374
2	-1.9310344827586206	0.8	228.0	6.164320440880907	6.19428569139453	0.9377102886993207
3	-1.9310344827586206	0.9	190.0	6.253820630622446	4.360000361694148	0.9384359575428189
4	-2.275862068965517	0.95	216.0	8.59779648592731	5.446433683119732	0.8349376094761742
5	-1.5862068965517242	0.7	264.0	5.991272775895827	4.830083354908579	0.9428843183813708
6	-1.2413793103448274	0.9	162.0	7.46365432393941	6.373239651238695	0.8896461564115615
7	-2.275862068965517	0.9	215.0	7.946367391402972	6.888284114931061	0.8499320279342775
8	-2.4482758620689653	0.7	312.0	9.346836097414736	6.4269910150880385	0.802174633546021
9	-2.6206896551724137	0.7	384.0	8.965033732555874	4.806609427702277	0.775567209710407
10	-1.2413793103448274	0.9	157.0	6.720076691007886	3.5804594493178	0.9199232182684858
