	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-2.275862068965517	0.9	216.0	6.82077606723106	6.999683757640113	0.9120380018918431
1	-2.275862068965517	1.0	217.0	6.602058614596918	4.872018678533607	0.8965859790120178
2	-2.103448275862069	1.0	193.0	7.403975316624056	7.1763487775536134	0.855846683613935
3	-2.4482758620689653	0.7	330.0	5.639602761391494	4.843691124559015	0.9461064986556322
4	-2.275862068965517	0.7	322.0	5.764480227827808	5.836517459704048	0.9410486281168402
5	-2.103448275862069	0.99	197.0	8.790139168393553	5.77504530182965	0.8024906751138339
6	-0.8965517241379306	0.9	158.0	4.758994958853129	3.1775271263143026	0.9532841096859257
7	-2.6206896551724137	0.8	320.0	10.940700502291033	10.517679279313079	0.7076841607359011
8	-2.4482758620689653	0.99	221.0	7.083230320243315	6.234008579888211	0.9166478454972176
9	-2.6206896551724137	0.7	382.0	7.732139940432948	7.6761917673819795	0.9180180437451777
10	-2.4482758620689653	0.9	243.0	8.910743941848873	5.220896477901206	0.7588072933128148
