	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-2.4482758620689653	0.7	331.0	4.728671432177627	3.8251424952419875	0.9573929090274627
1	-2.103448275862069	0.99	185.0	4.207553688996478	3.0656469905263606	0.9623260131980129
2	-2.6206896551724137	0.9	279.0	5.592183093094636	3.80107926559009	0.9339505712925199
3	-1.9310344827586206	0.9	192.0	4.243929813634229	3.9516335930352895	0.961504635342699
4	-2.103448275862069	0.7	291.0	3.2534368539791427	3.0648767503045775	0.9851991323044367
5	-2.275862068965517	0.99	217.0	5.930173833459859	3.004495670612087	0.9163531214681078
6	-2.4482758620689653	0.95	244.0	4.215063198649809	2.5017501559864	0.9613595604479432
7	-2.4482758620689653	0.9	245.0	4.890207753455157	3.0398639669869993	0.9590864029639397
8	-2.4482758620689653	1.0	236.0	3.450033263519546	2.2610785946285787	0.97346310751632
9	-2.103448275862069	0.7	283.0	5.024056617204585	3.9908814680211293	0.9558478772392007
10	-2.4482758620689653	0.99	233.0	5.122944012702128	3.445841138450863	0.921864796592512
