	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-2.275862068965517	0.99	204.0	8.128888095937223	7.490073518065337	0.8319939654632232
1	-2.4482758620689653	0.99	218.0	6.043481547462757	3.6896603361201414	0.9197288911073536
2	-2.4482758620689653	0.9	232.0	8.695227132352558	6.152040471039662	0.8035364912084781
3	-2.275862068965517	0.7	290.0	6.115595998185516	4.969341964554321	0.9432770643029247
4	-2.6206896551724137	0.99	236.0	7.190660143597178	5.607781685522589	0.8719869527304012
5	-1.9310344827586206	1.0	155.0	8.576549203677475	4.781343846605793	0.8080915216880663
6	-2.6206896551724137	0.8	298.0	5.6642908322944026	2.521740770686513	0.9328957249711591
7	-2.275862068965517	0.9	216.0	8.936253504975168	8.535744850826347	0.8336116190153868
8	-2.6206896551724137	0.95	228.0	8.049924863702197	5.386575407268538	0.8364685649682932
9	-2.6206896551724137	0.9	242.0	6.504193829177513	6.301247585738167	0.941234353307841
10	-2.6206896551724137	0.7	378.0	10.101912126624812	4.675125631411543	0.6649966819307949
