	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	0.6551724137931041	1.0	0.0	14.38226709723112	13.465116279069768	
1	0.6551724137931041	0.95	0.0	14.550469083990953	13.472868217054263	
2	0.3103448275862073	1.0	27.0	39.414541066382974	12.56426994926106	-0.5445758449085345
3	0.6551724137931041	0.95	0.0	14.40528619760577	12.410852713178294	
4	0.4827586206896557	0.95	14.0	15.54235741188772	13.652229068880438	-0.4379712901110228
5	0.4827586206896557	1.0	4.0	15.813483831827716	13.137160770184408	-0.3056070720386342
6	0.6551724137931041	0.99	0.0	14.376926959800567	12.310077519379846	
7	0.4827586206896557	1.0	6.0	15.203667808528783	10.400060725492736	-0.4325450417700405
8	0.6551724137931041	1.0	0.0	14.49725473031202	12.775193798449607	
9	0.6551724137931041	1.0	0.0	14.733276438783909	12.837209302325583	
10	0.8275862068965516	0.8	0.0	12.894808826599805	11.5	
