	log10(alpha)	l1_ratio	non_zero	RMSE	MAE	r
0	-1.2413793103448274	0.9	263.0	7.608514863519912	7.272374565528587	0.9210480000744621
1	-0.37931034482758585	1.0	142.0	10.783166313467385	8.734098147340305	0.7929367982671005
2	-2.103448275862069	0.95	334.0	9.25385185445755	4.556149846504539	0.8482037963783766
3	-2.275862068965517	0.8	417.0	10.623576123975974	7.31933152632196	0.8015874710739005
4	-1.7586206896551722	0.99	274.0	7.232684685997206	5.123401093789784	0.926066605700958
5	-1.4137931034482758	0.8	340.0	7.543419658731376	3.9329637778510502	0.9421215878515858
6	-1.9310344827586206	0.95	293.0	8.81248860932357	4.0685294557709994	0.8736486704910954
7	-1.5862068965517242	0.9	275.0	8.672964295127198	5.072419729797122	0.8449027863428933
8	-1.9310344827586206	0.8	372.0	7.075378527052948	5.34390917581587	0.9022892164687922
9	-1.068965517241379	0.9	265.0	8.576212434476703	4.992541574519635	0.8647562629400612
10	-1.9310344827586206	1.0	275.0	10.102179110637227	4.013877145925967	0.8088212572554939
